"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:27:11.839905","False",20,58,"6.7G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:27:21.954061","False",5,58.6,"6.6G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:27:32.076692","False",11.9,58.5,"6.6G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:27:42.198811","False",40.9,59,"6.5G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:27:52.316552","False",5.6,58.3,"6.6G",221,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:28:02.432611","False",47.4,59.2,"6.5G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:28:12.555452","False",13.9,59.7,"6.4G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:28:22.668583","False",25.6,59.5,"6.4G",219,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:28:32.798808","False",50,59.3,"6.5G",219,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:28:42.978229","False",28.6,59.4,"6.5G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:28:53.092023","False",33.3,63,"5.9G",222,47.1,"492.9G"
